dateTime,a,b,answer,calculated,correct,speed,
Nov27_11.29.45_2018,2427,2,4854,4834,False,6.7056825160980225,
Nov27_11.30.33_2018,1831,2,3662,1662,False,8.82554316520691,
Nov27_11.30.46_2018,4592,2,9184,9184,True,10.87416696548462,
Nov27_11.32.05_2018,4731,2,9462,9462,True,5.538735389709473,
Nov27_11.32.16_2018,7580,2,15160,15160,True,5.441462755203247,
Nov27_11.32.26_2018,3962,2,7924,7924,True,6.816687107086182,
